id,name,boss,parter,import,subcorp,invest,risk
28,长沙新奥燃气有限公司,李建国,"外国(地区)企业,企业法人,新奥（中国）燃气投资有限公司,长沙市燃气实业有限公司,6600 万人民币-,5400 万人民币-,6600 万人民币-,5400 万人民币-","王曦,安宏斌,钟晟,李建国,韩继深,梁自强,张叶生,廖颖,谢铀,齐勇","长沙新奥燃气有限公司望城县分公司,长沙新奥燃气有限公司城南分公司,长沙新奥燃气有限公司城北分公司,长沙新奥燃气有限公司河西分公司,长沙新奥燃气发展有限公司伍家岭营业厅,{{el.name}}{{el.name}},林新洪,穆文,林新洪,张放民,林新洪,{{el.oper_name}},0.000000,0.000000,0.000000,0.000000,0.000000,{{el.reg_capi}},2010-10-18,2010-10-18,2010-10-18,2010-11-04,2005-06-30,{{el.start_date}}",,
29,北汽福田汽车股份有限公司长沙汽车厂,陈泽著,,,,,
30,湖南锦峰钢结构工程有限公司,晏三明,"自然人股东,自然人股东,自然人股东,企业法人,自然人股东,汪立新,晏三明,晏胜明,湖南锦峰建设集团有限公司,晏雅慧,,,,,,,,,,","汪立新,晏三明,晏胜明",,,
31,长沙众泰汽车工业有限公司,应金永,"自然人股东,应金永,,","应金永,易磊",,,
32,恒天九五重工有限公司,唐蕾,"自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,企业法人,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,企业法人,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,汤盘法,伍拥军,黄银飞,尹帮良,应伟建,李文华,王小豪,郑品辉,毛向群,鲁  忠,王喜山,胡跃文,陈小虎,李新桥,王树仁,唐轶君,岳少敏,陈希,恒天重工股份有限公司,刘鹏程,肖坤后,鲁剑武,王泽民,李湘晖,邓名军,杨  东,欧阳钟禄,张楚武,杨建军,宁新建,姜炎炼,黎  峰,华钧,蒋  向,中国恒天集团有限公司,许韶光,刘序焱,张永健,钟瑶嵩,师  伟,唐  蕾,李明强,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","刘戈,郭凯军,唐蕾,李湘晖,李新桥,王国俊,刑国龙,刘序焱,吴满菊,姜炎炼,张永健,徐瑞芳","恒天九五重工有限公司益阳分公司,{{el.name}}{{el.name}},曾玉新,{{el.oper_name}},0.000000,{{el.reg_capi}},2011-01-25,{{el.start_date}}",,
33,绿之韵生物工程集团有限公司,胡国安,"自然人股东,自然人股东,自然人股东,劳嘉,胡均安,胡国安,500.0038 万人民币-,100 万人民币-,9400 万人民币-,500.0038 万人民币2011年2月28日,100 万人民币2011年2月28日,9400 万人民币2011年2月28日","胡国安,冯红,皮劲,许达仲,劳嘉",,,
34,宁乡银太纺织有限公司,黄维新,"企业法人,湖南银太集团有限公司,500 万人民币-,500 万人民币2011-07-15","胡志刚,戴耘,易稳升,周爱民,王勤,涂惠敏,周杰,欧阳燕,黄维新,曾平凡","宁乡银太纺织有限公司宁乡招待所,{{el.name}}{{el.name}},彭立明,{{el.oper_name}},0.000000,{{el.reg_capi}},2013-01-24,{{el.start_date}}",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
