"","X","NEWS_SOURCE","TITLE","REPORT_TIME","side","score","author_new.NEWS_AUTHOR","news_seg"
"105",105,"三一集团有限公司","美克国际家具股份有限公司","2013-10-30 03:00:00",0,NA,"搜狐证券","美克,国际,家具,股份,有限公司"
"106",106,"三一集团有限公司","三丰智能:首次公开发行前已发行股份上市流通提示性公告","2012-11-13 18:00:00",0,NA,"证券时报网","三丰,智能,首,公开,发行,前,发行,股份,上市,流通,提示性,公告"
"107",107,"三一集团有限公司","三一重工股份有限公司公告(系列)","2013-07-11 01:00:00",0,NA,"凤凰网","三一重工,股份,有限公司,公告,系列"
"108",108,"三一集团有限公司","眉山:青神县与三一集团成功签订战略合作框架协议","2013-08-06 09:00:00",1,3,"四川新闻网眉山频道","眉山,青神县,三一,集团,成功,签订,战略,合作,框架,协议"
"109",109,"三一集团有限公司","华泽集团等11家湘企入围2013年中国民企500强","2013-09-03 01:00:00",0,NA,"新浪新闻","华泽,集团,11,湘企,入围,2013年,中国,民企,500,强"
"110",110,"三一集团有限公司","三一集团董事长梁稳根简介","2011-04-19 21:00:00",0,NA,"凤凰网","三一,集团,董事长,梁稳根,简介"
"111",111,"三一集团有限公司","三一重工股份有限公司2012年度股东大会决议公告","2013-06-29 01:00:00",0,NA,"腾讯财经","三一重工,股份,有限公司,2012,年度,股东,大会,决议,公告"
"112",112,"三一集团有限公司","三一重工股份有限公司","2010-08-23 06:00:00",0,NA,"和讯","三一重工,股份,有限公司"
"113",113,"三一集团有限公司","2014民营企业500强发布:苏宁联想魏桥集团分列前三","2014-10-26 11:00:00",0,NA,"凤凰网","2014,民营,企业,500,强,发布,苏宁,联想,魏桥,集团,分列,前,三"
"114",114,"三一集团有限公司","耿彦波赴三一集团考察 进一步壮大装备制造产业","2011-01-17 07:00:00",0,NA,"网易新闻","耿彦波,赴,三一,集团,考察,壮大,装备,制造,产业"
"115",115,"三一集团有限公司","去年销售额增六成 三一集团酝酿非上市资产IPO","2011-01-12 02:00:00",0,NA,"新浪财经","去年,销售额,增,六,三一,集团,酝酿,上市,资产,IPO"
"116",116,"三一集团有限公司","三一集团今年收入料难增长 子公司欲介入航空发动机","2013-08-09 16:00:00",1,7,"新浪财经","三一,集团,今年,收入,料难,增长,子公司,介入,航空,发动机"
"117",117,"三一集团有限公司","三一重工股份有限公司关于公开发行可转换公司债券申请获得中国...","2015-05-21 02:00:00",1,3,"新浪财经","三一重工,股份,有限公司,公开,发行,可,转换,公司,债券,申请,获得,中国"
"118",118,"三一集团有限公司","三一重工股份有限公司公告(系列)","2014-08-06 01:00:00",0,NA,"凤凰网","三一重工,股份,有限公司,公告,系列"
"119",119,"三一集团有限公司","三一重工股份有限公司2012年半年度报告摘要","2012-08-31 03:00:00",0,NA,"和讯","三一重工,股份,有限公司,2012,半,年度,报告,摘要"
"120",120,"三一集团有限公司","四川北方硝化棉股份有限公司","2011-10-28 01:00:00",0,NA,"腾讯财经","四川,北方,硝化棉,股份,有限公司"
"121",121,"三一集团有限公司","邮储银行与三一集团成功签订票据大管家业务服务协议","2015-06-09 10:14:00",1,3,"星辰在线","邮储,银行,三一,集团,成功,签订,票据,大,管家,业务,服务,协议"
"122",122,"三一集团有限公司","三一重工股份有限公司2014第一季度报告","2014-04-30 07:00:00",0,NA,"凤凰网","三一重工,股份,有限公司,2014,第一,季度,报告"
"123",123,"三一集团有限公司","三一集团转让三一重工5.91%股权 资金将投入机器人研制","2014-12-22 11:14:00",0,NA,"OFweek","三一,集团,转让,三一重工,5.91%,股权,资金,投入,机器人,研制"
"124",124,"三一集团有限公司","三一重工股份有限公司关于2014年第一次临时股东大会延期的通知","2014-04-11 02:23:00",0,NA,"网易财经","三一重工,股份,有限公司,2014年,第一,临时,股东,大会,延期,通知"
"125",125,"三一集团有限公司","三一重工股份有限公司关于与奥地利帕尔菲格集团合作的进展公告","2013-12-12 01:00:00",1,3,"新浪财经","三一重工,股份,有限公司,奥地利,帕尔菲格,集团,合作,进展,公告"
"126",126,"三一集团有限公司","中国长江航运集团南京油运股份有限公司","2013-10-26 05:00:00",0,NA,"和讯","中国,长江,航运,集团,南京,油运,股份,有限公司"
"127",127,"三一集团有限公司","长百集团与三一集团签订搅拌站“油改气”协议","2015-05-24 21:02:00",0,NA,"中国证券网","长百,集团,三一,集团,签订,搅拌站,油,改气,协议"
"128",128,"三一集团有限公司","三一重工澄清:与长百合作为三一集团","2015-05-25 16:00:00",0,NA,"搜狐证券","三一重工,澄清,长,百合作,三一,集团"
"129",129,"三一集团有限公司","三一重工股份有限公司第五届董事会第七次会议决议公告","2014-04-30 06:00:00",0,NA,"搜狐证券","三一重工,股份,有限公司,第五,董事会,第七,会议,决议,公告"
"130",130,"三一集团有限公司","三一重工:湖南三一快而居住宅工业有限公司审计报告","2014-11-08 00:00:00",0,NA,"凤凰网","三一重工,湖南,快,居,住宅,工业,有限公司,审计,报告"
"131",131,"三一集团有限公司","住建部正式批准三一集团等组建国家级新型建筑工业化研究中心","2015-04-10 09:42:00",0,NA,"中国路面机械网","住建部,正式,批准,三一,集团,组建,国家级,新型,建筑,工业化,研究,中心"
"132",132,"三一集团有限公司","最受赞赏的中国公司:阿里、百度冠亚军","2011-09-29 11:39:00",1,5,"网易数码","受,赞赏,中国,公司,阿里,百度,冠亚军"
"133",133,"三一集团有限公司","三一重工股份有限公司关于高级管理人员辞职的公告","2014-09-25 04:00:00",1,5,"搜狐证券","三一重工,股份,有限公司,高级,管理,人员,辞职,公告"
"134",134,"三一集团有限公司","山推工程机械股份有限公司","2013-10-29 09:00:00",0,NA,"搜狐证券","山推,工程,机械,股份,有限公司"
"135",135,"三一集团有限公司","三一_三一重工股份有限公司_hc360慧聪网工程机械行业","2013-01-17 12:15:00",0,NA,"慧聪网","三一_三一重工,股份,有限公司,hc360,慧聪网,工程,机械,行业"
"136",136,"三一集团有限公司","三一重工股份有限公司关于高级管理人员变动的公告","2013-09-11 04:35:00",2,5,"21CN财经","三一重工,股份,有限公司,高级,管理,人员,变动,公告"
"137",137,"三一集团有限公司","湖北三丰智能输送装备股份有限公司2012年第三季度报告","2012-10-23 02:00:00",0,NA,"新浪财经","湖北,三丰,智能,输送,装备,股份,有限公司,2012年,第三,季度,报告"
"138",138,"三一集团有限公司","公司名称:三一集团有限公司","2009-08-21 21:00:00",0,NA,"腾讯财经","公司,名称,三一,集团,有限公司"
"139",139,"三一集团有限公司","三一部分管理部门迁京 公司称为更好地国际化","2012-11-23 08:07:00",0,NA,"新华网","三一,部分,管理,部门,迁京,公司,称为,好,国际化"
"140",140,"三一集团有限公司","三一重工股份有限公司关于公司及相关主体承诺履行情况的公告","2014-02-15 01:00:00",1,7,"和讯","三一重工,股份,有限公司,公司,相关,主体,承诺,履行,情况,公告"
"141",141,"三一集团有限公司","三一重工大股东转让4.5亿股 引入朱雀投资、陈发树","2014-12-19 19:00:00",0,NA,"中证网","三一重工大,股东,转让,4.5亿,引入,朱雀,投资,陈发树"
"142",142,"三一集团有限公司","三一重工股份有限公司关于与奥地利帕尔菲格集团合作的进展公告","2014-05-16 01:00:00",1,3,"和讯","三一重工,股份,有限公司,奥地利,帕尔菲格,集团,合作,进展,公告"
"143",143,"三一集团有限公司","三一重工股份有限公司关于向激励对象授予预留股票期权相关事项的...","2013-12-25 00:46:00",0,NA,"搜狐证券","三一重工,股份,有限公司,激励,对象,授予,预留,股票,期权,相关,事项"
"144",144,"三一集团有限公司","三一重工股份有限公司关于全资子公司收购股权的公告","2013-07-02 01:00:00",0,NA,"和讯","三一重工,股份,有限公司,全资,子公司,收购,股权,公告"
"145",145,"三一集团有限公司","发力融资租赁三一集团成立汽车金融公司","2010-12-09 01:00:00",0,NA,"搜狐财经","发力,融资,租赁,三一,集团,成立,汽车,金融,公司"
"146",146,"三一集团有限公司","三一重工股份有限公司第四届董事会第十七次会议决议公告","2012-03-29 07:00:00",0,NA,"全景网络","三一重工,股份,有限公司,第四,董事会,第十七,会议,决议,公告"
"147",147,"三一集团有限公司","三一重工股份有限公司2013年度利润分配实施公告","2014-08-04 01:00:00",0,NA,"凤凰网","三一重工,股份,有限公司,2013,年度,利润,分配,实施,公告"
